Name,Rarity,Type,Properties,Text
+2 Pike,rare,"weapon, martial weapon, melee weapon","1d10, piercing, - heavy, reach, two-handed","You have a +2 bonus to attack and damage rolls made with this magic weapon. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+2 Plate Armor,very rare,heavy armor,AC 18,"You have a +2 bonus to AC while wearing this armor.Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.The wearer has disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
+2 Quarterstaff,rare,"weapon, simple weapon, melee weapon","1d6, bludgeoning, - versatile (1d8)",You have a +2 bonus to attack and damage rolls made with this magic weapon. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
+2 Rapier,rare,"weapon, martial weapon, melee weapon","1d8, piercing, - finesse","You have a +2 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls."
+2 Ring Mail,very rare,heavy armor,AC 14,"You have a +2 bonus to AC while wearing this armor.This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.The wearer has disadvantage on Dexterity (Stealth) checks."
+2 Scale Mail,very rare,medium armor,AC 14 + Dex (max 2),"You have a +2 bonus to AC while wearing this armor.This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.The wearer has disadvantage on Dexterity (Stealth) checks."
+2 Scimitar,rare,"weapon, martial weapon, melee weapon","1d6, slashing, - finesse, light","You have a +2 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
+2 Shield,rare,armor (shield),AC +2 + Dex,"While holding this shield, you have a +2 bonus to AC. This bonus is in addition to the shield's normal bonus to AC.A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time."
+2 Shortbow,rare,"weapon, simple weapon, ranged weapon","1d6, piercing, - ammunition (80/320 ft.), two-handed","You have a +2 bonus to attack and damage rolls made with this magic weapon. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
+2 Shortsword,rare,"weapon, martial weapon, melee weapon","1d6, piercing, - finesse, light","You have a +2 bonus to attack and damage rolls made with this magic weapon. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
+2 Spear,rare,"weapon, simple weapon, melee weapon","1d6, piercing, - thrown (20/60 ft.), versatile (1d8)","You have a +2 bonus to attack and damage rolls made with this magic weapon. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
